customer_id,customer_ratio_rewards, customer_ratio_payments,credit_utilization,single_score_for_customer 
 100120000 ,0.384332 , 0.962609,  0.992722, 1.013758 
 100250000 ,0.383364 , 1.000000,  0.996666, 1.045577 
 100310000 ,0.373502 , 1.000000,  0.994585, 1.020811 
 100450000 ,0.414967 , 1.000000,  0.998130, 1.130110 
 100560000 ,0.480302 , 0.936124,  0.998990, 1.226046 
 100610000 ,0.425746 , 0.869654,  0.979986, 1.036612 
 100760000 ,0.520036 , 0.893578,  0.998164, 1.273232 
 100890000 ,0.445312 , 0.940787,  0.999831, 1.141081 
 100940000 ,0.540550 , 1.000000,  0.995244, 1.476389 
 101050000 ,0.407177 , 1.000000,  0.999560, 1.107311 
 101110000 ,0.477101 , 0.993195,  0.978994, 1.315739 
 101250000 ,0.544291 , 0.993994,  0.997217, 1.474780 
 101330000 ,0.389903 , 0.950451,  0.994334, 1.014378 
 101490000 ,0.307518 , 1.000000,  0.999699, 0.836174 
 101570000 ,0.405278 , 1.000000,  0.997256, 1.104691 
 101670000 ,0.409932 , 0.996460,  0.999716, 1.110688 
 101760000 ,0.550743 , 1.000000,  0.997484, 1.500851 
 101820000 ,0.462457 , 1.000000,  0.993624, 1.265155 
 101980000 ,0.571699 , 0.990166,  0.999099, 1.540220 
 102030000 ,0.428793 , 1.000000,  0.995872, 1.170411 
 102120000 ,0.522491 , 0.952187,  0.993189, 1.363252 
 102210000 ,0.526647 , 0.894454,  0.986882, 1.305301 
 102380000 ,0.432625 , 1.000000,  0.999745, 1.176297 
 102420000 ,0.494803 , 1.000000,  0.996282, 1.350034 
 102570000 ,0.369619 , 0.905855,  0.999898, 0.914547 
 102630000 ,0.482127 , 1.000000,  0.999535, 1.311168 
 102760000 ,0.522159 , 0.959535,  0.997125, 1.367016 
 102810000 ,0.351004 , 0.966929,  0.991273, 0.931217 
 102990000 ,0.497270 , 0.922039,  0.998868, 1.251758 
 103080000 ,0.527343 , 1.000000,  0.999248, 1.434545 
 103160000 ,0.498379 , 1.000000,  0.996926, 1.358912 
 103260000 ,0.534580 , 1.000000,  0.999273, 1.454198 
 103330000 ,0.460338 , 1.000000,  0.995957, 1.256407 
 103460000 ,0.427276 , 0.900669,  0.998800, 1.052896 
 103580000 ,0.551460 , 1.000000,  0.998709, 1.500962 
 103680000 ,0.394883 , 0.979272,  0.997953, 1.053540 
 103720000 ,0.503722 , 1.000000,  0.998994, 1.370637 
 103890000 ,0.491314 , 1.000000,  0.998202, 1.337935 
 103930000 ,0.402189 , 0.944107,  0.995692, 1.038306 
 104050000 ,0.485348 , 1.000000,  0.999646, 1.319781 
 104190000 ,0.609468 , 1.000000,  0.997850, 1.660275 
 104290000 ,0.619957 , 0.926710,  0.999335, 1.567167 
 104340000 ,0.462508 , 0.964731,  0.995597, 1.219027 
 104450000 ,0.542640 , 0.874728,  0.998958, 1.302730 
 104590000 ,0.396001 , 1.000000,  0.997970, 1.078633 
 104650000 ,0.527517 , 1.000000,  0.997491, 1.437548 
 104720000 ,0.563683 , 1.000000,  0.995079, 1.539828 
 104880000 ,0.449100 , 1.000000,  0.997802, 1.223469 
 104910000 ,0.660600 , 0.875447,  0.999876, 1.585601 
 105080000 ,0.636408 , 0.922593,  0.999811, 1.601381 
 105190000 ,0.454560 , 0.887321,  0.997789, 1.106397 
 105260000 ,0.450856 , 1.000000,  0.996464, 1.229903 
 105340000 ,0.348668 , 0.942506,  0.996719, 0.897768 
 105450000 ,0.586201 , 0.960340,  0.999972, 1.531541 
 105560000 ,0.520908 , 1.000000,  0.998017, 1.418789 
 105650000 ,0.491069 , 1.000000,  0.999996, 1.334871 
 105710000 ,0.299098 , 1.000000,  0.983968, 0.826281 
 105820000 ,0.438304 , 0.970265,  0.993243, 1.164396 
 105930000 ,0.481553 , 1.000000,  0.998415, 1.311074 
 106060000 ,0.395347 , 0.948638,  0.996657, 1.024285 
 106180000 ,0.628974 , 0.950884,  0.997625, 1.631657 
 106290000 ,0.462755 , 0.943841,  0.999010, 1.190380 
 106320000 ,0.678878 , 0.998506,  0.990966, 1.859424 
 106440000 ,0.492509 , 0.957108,  0.997239, 1.286121 
 106560000 ,0.532943 , 0.944145,  0.997703, 1.373146 
 106620000 ,0.443957 , 0.964205,  0.994504, 1.170802 
 106750000 ,0.509185 , 0.961039,  0.998967, 1.332595 
 106810000 ,0.368346 , 1.000000,  0.991720, 1.009628 
 106910000 ,0.609026 , 0.991528,  0.999277, 1.642725 
 107050000 ,0.613849 , 0.875114,  0.996559, 1.477800 
 107170000 ,0.437990 , 0.995632,  0.999214, 1.186324 
 107260000 ,0.545853 , 1.000000,  0.998313, 1.486291 
 107310000 ,0.510487 , 1.000000,  0.992246, 1.398490 
 107410000 ,0.510750 , 1.000000,  0.986569, 1.407263 
 107510000 ,0.368334 , 0.962246,  0.988896, 0.974965 
 107650000 ,0.378584 , 1.000000,  0.995940, 1.033291 
 107740000 ,0.516461 , 1.000000,  0.998511, 1.405981 
 107890000 ,0.478550 , 0.995408,  0.999199, 1.295911 
 107990000 ,0.623298 , 1.000000,  0.997933, 1.697808 
 108080000 ,0.343326 , 1.000000,  0.997633, 0.935473 
 108190000 ,0.355176 , 1.000000,  0.998813, 0.966614 
 108230000 ,0.647353 , 0.928767,  0.994573, 1.647642 
 108390000 ,0.601675 , 0.951582,  0.997893, 1.561510 
 108420000 ,0.585829 , 0.934542,  0.990984, 1.505117 
 108570000 ,0.417599 , 0.979061,  0.997942, 1.113923 
 108690000 ,0.444202 , 1.000000,  0.998753, 1.208975 
 108760000 ,0.423059 , 1.000000,  0.997198, 1.153225 
 108860000 ,0.443007 , 1.000000,  0.998774, 1.205697 
 108930000 ,0.509048 , 0.933331,  0.998665, 1.296220 
 109060000 ,0.450138 , 1.000000,  0.998032, 1.226015 
 109190000 ,0.504594 , 1.000000,  0.999754, 1.371965 
 109290000 ,0.421420 , 1.000000,  0.997751, 1.148120 
 109380000 ,0.552922 , 1.000000,  0.999523, 1.503715 
 109450000 ,0.620135 , 0.963478,  0.999478, 1.626096 
 109520000 ,0.441991 , 1.000000,  0.999432, 1.202137 
 109660000 ,0.571406 , 1.000000,  0.997692, 1.556834 
 109730000 ,0.553003 , 0.888008,  0.995094, 1.350580 
 109890000 ,0.508211 , 0.881533,  0.999082, 1.228252 
 109940000 ,0.387849 , 1.000000,  0.995398, 1.059157 
 110030000 ,0.596558 , 1.000000,  0.995512, 1.628923 
 110160000 ,0.546104 , 1.000000,  0.999483, 1.485233 
 110230000 ,0.504171 , 0.971832,  0.998863, 1.333931 
 110360000 ,0.416084 , 0.918225,  0.998610, 1.043675 
 110420000 ,0.482495 , 0.945688,  0.993850, 1.249911 
 110540000 ,0.593064 , 1.000000,  0.998429, 1.614651 
 110610000 ,0.466441 , 1.000000,  0.982671, 1.290276 
 110710000 ,0.491338 , 1.000000,  0.988303, 1.351402 
 110850000 ,0.438805 , 0.987051,  0.999171, 1.178426 
 110990000 ,0.281869 , 0.934407,  0.998810, 0.718409 
 111090000 ,0.553326 , 0.939009,  0.997984, 1.417959 
 111110000 ,0.341730 , 0.996353,  0.986747, 0.937969 
 111230000 ,0.486516 , 1.000000,  0.995073, 1.329035 
 111330000 ,0.542499 , 1.000000,  0.993278, 1.484644 
 111470000 ,0.454743 , 0.983858,  0.998670, 1.217946 
 111580000 ,0.346868 , 0.854069,  0.998375, 0.816182 
 111680000 ,0.363446 , 0.924010,  0.998996, 0.916576 
 111790000 ,0.519552 , 0.889997,  0.999425, 1.265901 
 111810000 ,0.560496 , 0.911633,  0.994580, 1.402330 
 111960000 ,0.539539 , 0.929379,  0.998002, 1.369354 
 112010000 ,0.608139 , 1.000000,  0.988886, 1.671674 
 112110000 ,0.533188 , 0.976011,  0.990967, 1.427899 
 112220000 ,0.550435 , 1.000000,  0.996770, 1.501086 
 112320000 ,0.568191 , 0.993404,  0.997965, 1.537478 
 112420000 ,0.469119 , 0.929440,  0.994123, 1.195346 
 112570000 ,0.509476 , 1.000000,  0.998464, 1.387029 
 112660000 ,0.426997 , 1.000000,  0.999756, 1.160981 
 112780000 ,0.399986 , 1.000000,  0.997809, 1.089661 
 112830000 ,0.368818 , 1.000000,  0.998930, 1.003626 
 112990000 ,0.528321 , 0.979860,  0.998905, 1.409034 
 113090000 ,0.609934 , 1.000000,  0.997912, 1.661442 
 113130000 ,0.407091 , 0.996716,  0.998297, 1.104840 
 113260000 ,0.510523 , 0.864884,  0.996911, 1.216112 
